Products and product groups,time,cpi
Food,Jun-19,150.7
Food,Jul-19,151.6
Food,Aug-19,151.1
Food,Sep-19,150.2
Food,Oct-19,149.9
Food,Nov-19,151.1
Food,Dec-19,151.9
Food,Jan-20,153.5
Food,Feb-20,152.9
Food,Mar-20,152.8
Food,Apr-20,154
Food,May-20,154.3
Food,Jun-20,154.8
Food,Jul-20,155
Food,Aug-20,153.8
Food,Sep-20,152.6
Food,Oct-20,153.3
Food,Nov-20,153.9
Food,Dec-20,153.6
Food,Jan-21,155
Food,Feb-21,155.6
Food,Mar-21,155.5
Food,Apr-21,155.4
Food,May-21,156.6
Food,Jun-21,156.8
Food,Jul-21,157.6
Food,Aug-21,158
Food,Sep-21,158.5
Food,Oct-21,159.2
Food,Nov-21,160.7
Food,Dec-21,161.6
Food,Jan-22,163.9
Food,Feb-22,166
Food,Mar-22,167.5
Food,Apr-22,169
Food,May-22,170.4
Food,Jun-22,170.6
Food,Jul-22,172.1
Food,Aug-22,173.5
Food,Sep-22,174.8
Food,Oct-22,175.2
Food,Nov-22,177.3
Food,Dec-22,177.9
Food,Jan-23,181
Food,Feb-23,182.1
Food,Mar-23,182.4
Food,Apr-23,183.1
Food,May-23,184.6
Food,Jun-23,184.8
Food,Jul-23,185.5
Food,Aug-23,185.3
Food,Sep-23,185.2
Food,Oct-23,185
Food,Nov-23,186.2
Food,Dec-23,186.8
Shelter,Jan-13,127.8
Shelter,Feb-13,127.9
Shelter,Mar-13,128
Shelter,Apr-13,128.2
Shelter,May-13,128.3
Shelter,Jun-13,128.5
Shelter,Jul-13,128.8
Shelter,Aug-13,128.8
Shelter,Sep-13,129
Shelter,Oct-13,129.2
Shelter,Nov-13,129.8
Shelter,Dec-13,129.9
Shelter,Jan-14,130.5
Shelter,Feb-14,130.7
Shelter,Mar-14,131.4
Shelter,Apr-14,132.4
Shelter,May-14,132.6
Shelter,Jun-14,132.2
Shelter,Jul-14,132.6
Shelter,Aug-14,132.4
Shelter,Sep-14,132.5
Shelter,Oct-14,132.8
Shelter,Nov-14,132.8
Shelter,Dec-14,133
Shelter,Jan-15,133.1
Shelter,Feb-15,133.1
Shelter,Mar-15,133.3
Shelter,Apr-15,133.1
Shelter,May-15,133.2
Shelter,Jun-15,133.5
Shelter,Jul-15,133.8
Shelter,Aug-15,133.9
Shelter,Sep-15,133.9
Shelter,Oct-15,134.3
Shelter,Nov-15,134.4
Shelter,Dec-15,134.5
Shelter,Jan-16,134.6
Shelter,Feb-16,134.7
Shelter,Mar-16,134.8
Shelter,Apr-16,134.9
Shelter,May-16,135.1
Shelter,Jun-16,135.6
